function,slot,fixed,sentinel,symbolic
tp_base_client_add_approver_filter_vardict,0,,,
tp_base_client_add_approver_filter_vardict,1,,,
tp_base_client_add_channel_features,0,,,
tp_base_client_add_channel_features,1,,,1
tp_base_client_add_channel_features,2,,,
tp_base_client_add_channel_features_varargs,0,,,
tp_base_client_add_channel_features_varargs,1,,,
tp_base_client_add_channel_features_varargs,2,,,
tp_base_client_add_connection_features,0,,,
tp_base_client_add_connection_features,1,,,1
tp_base_client_add_connection_features,2,,,
tp_base_client_add_connection_features_varargs,0,,,
tp_base_client_add_connection_features_varargs,1,,,
tp_base_client_add_connection_features_varargs,2,,,
tp_base_client_add_handler_capabilities,0,,,
tp_base_client_add_handler_capabilities,1,,,
tp_base_client_add_handler_capabilities_varargs,0,,,
tp_base_client_add_handler_capabilities_varargs,1,,NUL,
tp_base_client_add_handler_capabilities_varargs,2,,,
tp_base_client_add_handler_capability,0,,,
tp_base_client_add_handler_capability,1,,NUL,
tp_base_client_add_handler_filter,0,,,
tp_base_client_add_handler_filter,1,,,
tp_base_client_add_handler_filter_vardict,0,,,
tp_base_client_add_handler_filter_vardict,1,,,
tp_base_client_add_observer_filter,0,,,
tp_base_client_add_observer_filter,1,,,
tp_base_client_add_observer_filter_vardict,0,,,
tp_base_client_add_observer_filter_vardict,1,,,
tp_base_client_be_a_handler,0,,,
tp_base_client_delegate_channels_async,0,,,
tp_base_client_delegate_channels_async,1,,,
tp_base_client_delegate_channels_async,2,,,
tp_base_client_delegate_channels_async,3,,NUL,
tp_base_client_delegate_channels_async,4,,,
tp_base_client_delegate_channels_async,5,,,
tp_base_client_delegate_channels_finish,0,,,
tp_base_client_delegate_channels_finish,1,,,
tp_base_client_delegate_channels_finish,2,,,
tp_base_client_delegate_channels_finish,3,,,
tp_base_client_dup_handled_channels,0,,,
tp_base_client_dup_pending_requests,0,,,
tp_base_client_get_account_manager,0,,,
tp_base_client_get_bus_name,0,,,
tp_base_client_get_channel_factory,0,,,
tp_base_client_get_dbus_daemon,0,,,
tp_base_client_get_handled_channels,0,,,
tp_base_client_get_name,0,,,
tp_base_client_get_object_path,0,,,
tp_base_client_get_pending_requests,0,,,
tp_base_client_get_uniquify_name,0,,,
tp_base_client_implement_add_dispatch_operation,0,,,
tp_base_client_implement_add_dispatch_operation,1,,,
tp_base_client_implement_handle_channels,0,,,
tp_base_client_implement_handle_channels,1,,,
tp_base_client_implement_observe_channels,0,,,
tp_base_client_implement_observe_channels,1,,,
tp_base_client_is_handling_channel,0,,,
tp_base_client_is_handling_channel,1,,,
tp_base_client_register,0,,,
tp_base_client_set_channel_factory,0,,,
tp_base_client_set_channel_factory,1,,,
tp_base_client_set_delegated_channels_callback,0,,,
tp_base_client_set_delegated_channels_callback,1,,,
tp_base_client_set_delegated_channels_callback,2,,,
