function,slot,fixed,sentinel,symbolic
clutter_align_constraint_set_source,0,,,
clutter_align_constraint_set_source,1,,,
clutter_alpha_get_alpha,0,,,
clutter_alpha_get_mode,0,,,
clutter_alpha_get_timeline,0,,,
clutter_alpha_register_closure,0,,,
clutter_alpha_register_func,0,,,
clutter_alpha_register_func,1,,,
clutter_alpha_set_closure,0,,,
clutter_alpha_set_closure,1,,,
clutter_alpha_set_func,0,,,
clutter_alpha_set_func,1,,,
clutter_alpha_set_func,2,,,
clutter_alpha_set_func,3,,,
clutter_alpha_set_mode,0,,,
clutter_alpha_set_mode,1,,,
clutter_alpha_set_timeline,0,,,
clutter_alpha_set_timeline,1,,,
clutter_animatable_animate_property,0,,,
clutter_animatable_animate_property,1,,,
clutter_animatable_animate_property,2,,NUL,
clutter_animatable_animate_property,3,,,
clutter_animatable_animate_property,4,,,
clutter_animatable_animate_property,5,,,
clutter_animatable_animate_property,6,,,
clutter_animatable_find_property,0,,,
clutter_animatable_find_property,1,,NUL,
clutter_animatable_get_initial_state,0,,,
clutter_animatable_get_initial_state,1,,NUL,
clutter_animatable_get_initial_state,2,,,
clutter_animatable_interpolate_value,0,,,
clutter_animatable_interpolate_value,1,,NUL,
clutter_animatable_interpolate_value,2,,,
clutter_animatable_interpolate_value,3,,,
clutter_animatable_interpolate_value,4,,,
clutter_animatable_set_final_state,0,,,
clutter_animatable_set_final_state,1,,NUL,
clutter_animatable_set_final_state,2,,,
clutter_animation_bind,0,,,
clutter_animation_bind,1,,NUL,
clutter_animation_bind,2,,,
clutter_animation_bind_interval,0,,,
clutter_animation_bind_interval,1,,NUL,
clutter_animation_bind_interval,2,,,
clutter_animation_completed,0,,,
clutter_animation_get_alpha,0,,,
clutter_animation_get_duration,0,,,
clutter_animation_get_interval,0,,,
clutter_animation_get_interval,1,,NUL,
clutter_animation_get_loop,0,,,
clutter_animation_get_mode,0,,,
clutter_animation_get_object,0,,,
clutter_animation_get_timeline,0,,,
clutter_animation_has_property,0,,,
clutter_animation_has_property,1,,NUL,
clutter_animation_set_alpha,0,,,
clutter_animation_set_alpha,1,,,
clutter_animation_set_duration,0,,,
clutter_animation_set_duration,1,,,
clutter_animation_set_loop,0,,,
clutter_animation_set_loop,1,,,
clutter_animation_set_mode,0,,,
clutter_animation_set_mode,1,,,
clutter_animation_set_object,0,,,
clutter_animation_set_object,1,,,
