function,slot,fixed,sentinel,symbolic
gtk_alignment_set,0,,,
gtk_alignment_set,1,,,
gtk_alignment_set,2,,,
gtk_alignment_set,3,,,
gtk_alignment_set,4,,,
gtk_alignment_set_padding,0,,,
gtk_alignment_set_padding,1,,,
gtk_alignment_set_padding,2,,,
gtk_alignment_set_padding,3,,,
gtk_alignment_set_padding,4,,,
gtk_alternative_dialog_button_order,0,,,
gtk_app_chooser_button_append_custom_item,0,,,
gtk_app_chooser_button_append_custom_item,1,,NUL,
gtk_app_chooser_button_append_custom_item,2,,NUL,
gtk_app_chooser_button_append_custom_item,3,,,
gtk_app_chooser_button_append_separator,0,,,
gtk_app_chooser_button_get_heading,0,,,
gtk_app_chooser_button_get_show_default_item,0,,,
gtk_app_chooser_button_get_show_dialog_item,0,,,
gtk_app_chooser_button_set_active_custom_item,0,,,
gtk_app_chooser_button_set_active_custom_item,1,,NUL,
gtk_app_chooser_button_set_heading,0,,,
gtk_app_chooser_button_set_heading,1,,NUL,
gtk_app_chooser_button_set_show_default_item,0,,,
gtk_app_chooser_button_set_show_default_item,1,,,
gtk_app_chooser_button_set_show_dialog_item,0,,,
gtk_app_chooser_button_set_show_dialog_item,1,,,
gtk_app_chooser_dialog_get_heading,0,,,
gtk_app_chooser_dialog_get_widget,0,,,
gtk_app_chooser_dialog_set_heading,0,,,
gtk_app_chooser_dialog_set_heading,1,,NUL,
gtk_app_chooser_get_app_info,0,,,
gtk_app_chooser_get_content_type,0,,,
gtk_app_chooser_refresh,0,,,
gtk_app_chooser_widget_get_default_text,0,,,
gtk_app_chooser_widget_get_show_all,0,,,
gtk_app_chooser_widget_get_show_default,0,,,
gtk_app_chooser_widget_get_show_fallback,0,,,
gtk_app_chooser_widget_get_show_other,0,,,
gtk_app_chooser_widget_get_show_recommended,0,,,
gtk_app_chooser_widget_set_default_text,0,,,
gtk_app_chooser_widget_set_default_text,1,,NUL,
gtk_app_chooser_widget_set_show_all,0,,,
gtk_app_chooser_widget_set_show_all,1,,,
gtk_app_chooser_widget_set_show_default,0,,,
gtk_app_chooser_widget_set_show_default,1,,,
gtk_app_chooser_widget_set_show_fallback,0,,,
gtk_app_chooser_widget_set_show_fallback,1,,,
gtk_app_chooser_widget_set_show_other,0,,,
gtk_app_chooser_widget_set_show_other,1,,,
gtk_app_chooser_widget_set_show_recommended,0,,,
gtk_app_chooser_widget_set_show_recommended,1,,,
gtk_application_add_accelerator,0,,,
gtk_application_add_accelerator,1,,NUL,
gtk_application_add_accelerator,2,,NUL,
gtk_application_add_accelerator,3,,,
gtk_application_add_window,0,,,
gtk_application_add_window,1,,,
gtk_application_get_accels_for_action,0,,,
gtk_application_get_accels_for_action,1,,NUL,
gtk_application_get_actions_for_accel,0,,,
gtk_application_get_actions_for_accel,1,,NUL,
gtk_application_get_active_window,0,,,
gtk_application_get_app_menu,0,,,
gtk_application_get_menu_by_id,0,,,
gtk_application_get_menu_by_id,1,,NUL,
gtk_application_get_menubar,0,,,
gtk_application_get_window_by_id,0,,,
gtk_application_get_window_by_id,1,,,
gtk_application_get_windows,0,,,
gtk_application_inhibit,0,,,
gtk_application_inhibit,1,,,
gtk_application_inhibit,2,,,
gtk_application_inhibit,3,,NUL,
gtk_application_is_inhibited,0,,,
gtk_application_is_inhibited,1,,,
gtk_application_list_action_descriptions,0,,,
gtk_application_prefers_app_menu,0,,,
gtk_application_remove_accelerator,0,,,
gtk_application_remove_accelerator,1,,NUL,
gtk_application_remove_accelerator,2,,,
gtk_application_remove_window,0,,,
gtk_application_remove_window,1,,,
gtk_application_set_accels_for_action,0,,,
gtk_application_set_accels_for_action,1,,NUL,
gtk_application_set_accels_for_action,2,,NUL,
gtk_application_set_app_menu,0,,,
gtk_application_set_app_menu,1,,,
gtk_application_set_menubar,0,,,
gtk_application_set_menubar,1,,,
gtk_application_uninhibit,0,,,
gtk_application_uninhibit,1,,,
gtk_application_window_get_id,0,,,
gtk_application_window_get_show_menubar,0,,,
gtk_application_window_set_show_menubar,0,,,
gtk_application_window_set_show_menubar,1,,,
gtk_arrow_set,0,,,
gtk_arrow_set,1,,,
gtk_arrow_set,2,,,
gtk_aspect_frame_set,0,,,
gtk_aspect_frame_set,1,,,
gtk_aspect_frame_set,2,,,
gtk_aspect_frame_set,3,,,
gtk_aspect_frame_set,4,,,
gtk_assistant_add_action_widget,0,,,
gtk_assistant_add_action_widget,1,,,
gtk_assistant_append_page,0,,,
gtk_assistant_append_page,1,,,
gtk_assistant_commit,0,,,
gtk_assistant_get_current_page,0,,,
gtk_assistant_get_n_pages,0,,,
gtk_assistant_get_nth_page,0,,,
gtk_assistant_get_nth_page,1,,,
gtk_assistant_get_page_complete,0,,,
gtk_assistant_get_page_complete,1,,,
gtk_assistant_get_page_header_image,0,,,
gtk_assistant_get_page_header_image,1,,,
gtk_assistant_get_page_side_image,0,,,
gtk_assistant_get_page_side_image,1,,,
gtk_assistant_get_page_title,0,,,
gtk_assistant_get_page_title,1,,,
gtk_assistant_get_page_type,0,,,
gtk_assistant_get_page_type,1,,,
gtk_assistant_insert_page,0,,,
gtk_assistant_insert_page,1,,,
gtk_assistant_insert_page,2,,,
